ID,studyID,created_at,senator,text,source,is_quote,likes,retweets,hashtags,urls_url,link,urls_t.co,urls_expanded_url,media_or_link,media_url,media_t.co,media_expanded_url,media_type,mentions_screen_name,lang,quoted_text,quoted_created_at,quoted_source,quoted_like_count,quoted_retweet_count,quoted_screen_name,quoted_name,quoted_followers_count,quoted_friends_count,quoted_statuses_count,quoted_location,quoted_description,quoted_verified,status_url,name,sen_race,sen_gender,location,description,protected,followers_count,friends_count,listed_count,statuses_count,favourites_count,account_created_at,verified,profile_url,profile_expanded_url,party,party2,coder1,coder2,coder1_category,coder2_category,coders_agreed,engage,dismiss,neither,category,ideology,followers,year,year2,length,1a_code,in_1a,TOXICITY,allnone,certitude,tone_pos,tone_neg,polite,moral
1016,,8/13/20 15:55,marcorubio,"We need to help the unemployed,#smallbusiness & schools The only way is a compromise Democrats & Republicans agree on However Democratic leaders tell us we either agree to everything they want or we do nothing at all They believe doing nothing helps them win in November",Twitter for iPad,FALSE,772,173,smallbusiness,,,,,yes,http://pbs.twimg.com/ext_tw_video_thumb/1293939205224136704/pu/img/heF0errrk0rA4FnI.jpg,https://t.co/lStXbJ1OGT,https://twitter.com/marcorubio/status/1293939330684260353/video/1,photo,,en,,,,,,,,,,,,,,https://twitter.com/marcorubio/status/1293939330684260353,Marco Rubio,latinx,male,United States,"Banned in & sanctioned by China,Follower of Christ,Husband,Father, Proud AMERICAN, US Senator for Florida, #GatorNation & #FinsUp.Official tweets @SenRubioPress",FALSE,4201601,2486,16447,14743,1617,8/6/08 3:07,TRUE,https://t.co/xm4vZLmGV0,http://marcorubio.com,republican,republican,Jenny,Sebastian,neither,neither,1,0,0,1,neither,0.581,420.1601,2020,11,270,no_match,no_match,0.06132676,13.33,0,6.67,0,0,0
1017,,4/21/20 15:02,marcorubio,"By far,the single biggest reason why #smallbusiness can't get #PPP is its being held hostage PPP wasn't designed to be a Hunger Games battle for limited $ EVERYONE agreed that once it got going we would need more funds Then Democrat leadership turned the funding into leverage",Twitter for iPad,FALSE,1421,400,smallbusiness PPP,,,,,yes,http://pbs.twimg.com/ext_tw_video_thumb/1252613735652483073/pu/img/CnJCD-u_JbFdgDxN.jpg,https://t.co/CywQLViRDV,https://twitter.com/marcorubio/status/1252613795953946625/video/1,photo,,en,,,,,,,,,,,,,,https://twitter.com/marcorubio/status/1252613795953946625,Marco Rubio,latinx,male,United States,"Banned in & sanctioned by China,Follower of Christ,Husband,Father, Proud AMERICAN, US Senator for Florida, #GatorNation & #FinsUp.Official tweets @SenRubioPress",FALSE,4201601,2486,16447,14743,1617,8/6/08 3:07,TRUE,https://t.co/xm4vZLmGV0,http://marcorubio.com,republican,republican,Jenny,Sebastian,neither,neither,1,0,0,1,neither,0.581,420.1601,2020,11,276,no_match,no_match,0.09978092,2.13,0,0,6.38,0,0
1018,,4/9/20 16:43,marcorubio,Today Senate Democratic leaders took hostage more money for #SmallBusiness #ppp. They want to use it as leverage to get other unrelated items they want. Ridiculous When #smallbiz gets turned away next week you will know why. I hope they reconsider.,Twitter for iPhone,FALSE,2143,710,SmallBusiness ppp smallbiz,,,,,yes,http://pbs.twimg.com/ext_tw_video_thumb/1248290155103784966/pu/img/aOqx5koXwgJFB5EJ.jpg,https://t.co/zyxz2HwUXr,https://twitter.com/marcorubio/status/1248290545186856961/video/1,photo,,en,,,,,,,,,,,,,,https://twitter.com/marcorubio/status/1248290545186856961,Marco Rubio,latinx,male,United States,"Banned in & sanctioned by China,Follower of Christ,Husband,Father, Proud AMERICAN, US Senator for Florida, #GatorNation & #FinsUp.Official tweets @SenRubioPress",FALSE,4201601,2486,16447,14743,1617,8/6/08 3:07,TRUE,https://t.co/xm4vZLmGV0,http://marcorubio.com,republican,republican,Jenny,Sebastian,neither,neither,1,0,0,1,neither,0.581,420.1601,2020,11,248,no_match,no_match,0.355017,0,0,2.44,4.88,0,2.44
1019,,4/9/20 14:20,marcorubio,Unfortunately Senate Democrats are about to block more money for #PPPloans Not because they oppose it but because they want others things included. I hope they reconsider. #PPP is approving over $3 billion a hour to #SmallBusiness & will run out of funds in less than a week.,Twitter for iPhone,FALSE,2818,1139,PPPloans PPP SmallBusiness,,,,,no,,,,,,en,,,,,,,,,,,,,,https://twitter.com/marcorubio/status/1248254535669370880,Marco Rubio,latinx,male,United States,"Banned in & sanctioned by China,Follower of Christ,Husband,Father, Proud AMERICAN, US Senator for Florida, #GatorNation & #FinsUp.Official tweets @SenRubioPress",FALSE,4201601,2486,16447,14743,1617,8/6/08 3:07,TRUE,https://t.co/xm4vZLmGV0,http://marcorubio.com,republican,republican,Jenny,Sebastian,neither,neither,1,0,0,1,neither,0.581,420.1601,2020,11,275,no_match,no_match,0.038224805,0,0,2.13,2.13,0,0
1020,RE8,3/20/20 0:09,marcorubio,Just had our first meeting with our democratic colleagues on our plan to save small businesses & keep people employed through this crisis. I believe everyone recognizes the urgency of & that we will get this done quickly. People are being laid off by the minute.,Twitter for iPad,FALSE,1032,230,,,,,,yes,http://pbs.twimg.com/ext_tw_video_thumb/1240792324428517377/pu/img/sdxqmKc_2DksGwW2.jpg,https://t.co/VLfCJh0ePI,https://twitter.com/marcorubio/status/1240792476736159745/video/1,photo,,en,,,,,,,,,,,,,,https://twitter.com/marcorubio/status/1240792476736159745,Marco Rubio,latinx,male,United States,"Banned in & sanctioned by China,Follower of Christ,Husband,Father, Proud AMERICAN, US Senator for Florida, #GatorNation & #FinsUp.Official tweets @SenRubioPress",FALSE,4201601,2486,16447,14743,1617,8/6/08 3:07,TRUE,https://t.co/xm4vZLmGV0,http://marcorubio.com,republican,republican,Jenny,Sebastian,neither,engage,0,1,0,0,engage,0.581,420.1601,2020,11,262,no_match,no_match,0.020130653,2.27,0,2.27,2.27,0,0
1021,,2/24/20 3:13,marcorubio,"Likely Dem nominee praised the supposed achievements Castro regime And he's wrong about why people didn't overthrow Castro. It's not because he educated their kids,gave them health care its because his opponents were jailed,murdered or exiled",Twitter for iPad,FALSE,6570,2443,,cbsnews.com/news/bernie-sa…,yes,https://t.co/6i41w7zcDe,https://www.cbsnews.com/news/bernie-sanders-democratic-presidential-candidate-anderson-cooper-60-minutes-2020-02-23/#appvid=10FA1390-E4F8-4AE5-A264-16FB047934CD,yes,,,,,,en,,,,,,,,,,,,,,https://twitter.com/marcorubio/status/1231779260911800320,Marco Rubio,latinx,male,United States,"Banned in & sanctioned by China,Follower of Christ,Husband,Father, Proud AMERICAN, US Senator for Florida, #GatorNation & #FinsUp.Official tweets @SenRubioPress",FALSE,4201601,2486,16447,14743,1617,8/6/08 3:07,TRUE,https://t.co/xm4vZLmGV0,http://marcorubio.com,republican,republican,Jenny,Sebastian,neither,neither,1,0,0,1,neither,0.581,420.1601,2020,11,242,no_match,no_match,0.15626417,0,0,7.89,5.26,0,2.63
1022,,2/8/20 1:59,marcorubio,Democrat candidates at debate saying that no evidence existed that #Soleimani was planning a near-term attack don't know what they are talking about. @POTUS entire national security team agreed with his decision because the threat to Americans was real & immediate,Twitter for iPhone,FALSE,4719,1178,Soleimani,,,,,no,,,,,POTUS,en,,,,,,,,,,,,,,https://twitter.com/marcorubio/status/1225962312458219520,Marco Rubio,latinx,male,United States,"Banned in & sanctioned by China,Follower of Christ,Husband,Father, Proud AMERICAN, US Senator for Florida, #GatorNation & #FinsUp.Official tweets @SenRubioPress",FALSE,4201601,2486,16447,14743,1617,8/6/08 3:07,TRUE,https://t.co/xm4vZLmGV0,http://marcorubio.com,republican,republican,Jenny,Sebastian,dismiss,neither,0,0,0,1,neither,0.581,420.1601,2020,11,264,no_match,no_match,0.13251819,2.5,2.5,0,5,0,0
1023,,1/6/20 13:33,marcorubio,"Unbelievable. Democrats planning to try & limit Trumps ability to defend our troops in #Iraq, #Syria & Middle East. Because Trump isn't planning an invasion of #Iran. The only military action he is contemplating is defensive,in response to an attack. ",Twitter for iPad,FALSE,3063,917,Iraq Syria Iran,reut.rs/2ZV5QY6,yes,https://t.co/NrGaHepQFT,https://reut.rs/2ZV5QY6,yes,,,,,,en,,,,,,,,,,,,,,https://twitter.com/marcorubio/status/1214178078370488320,Marco Rubio,latinx,male,United States,"Banned in & sanctioned by China,Follower of Christ,Husband,Father, Proud AMERICAN, US Senator for Florida, #GatorNation & #FinsUp.Official tweets @SenRubioPress",FALSE,4201601,2486,16447,14743,1617,8/6/08 3:07,TRUE,https://t.co/xm4vZLmGV0,http://marcorubio.com,republican,republican,Jenny,Sebastian,neither,neither,1,0,0,1,neither,0.581,420.1601,2020,11,251,no_match,no_match,0.0741129,5.13,0,0,2.56,0,0
1024,,4/15/21 13:17,SenRickScott,"Voter ID is common sense & Americans agree. Yesterday, I asked that the Senate pass my bill to require Voter ID to help secure our elections. @SenateDemocrats blocked it. Why do Dems refuse to protect the integrity of our voting systems? ",Twitter for iPhone,FALSE,352,88,,bit.ly/3e8yD2M,yes,https://t.co/i2zjdm0MAv,https://bit.ly/3e8yD2M,yes,,,,,SenateDemocrats,en,,,,,,,,,,,,,,https://twitter.com/SenRickScott/status/1382684521938698242,Rick Scott,white,male,The Sunshine State,Florida's U.S. Senator. Fighting for Florida families and to Make Washington Work. #LetsGetToWork https://t.co/O6Ra1UNojy,FALSE,349615,1529,3883,19115,22,4/10/10 16:03,TRUE,https://t.co/N5TDVcCjcr,http://www.rickscott.senate.gov,republican,republican,Jenny,Sebastian,neither,neither,1,0,0,1,neither,0.651,34.9615,2021,12,238,no_match,no_match,0.021102477,0,0,2.5,2.5,0,0
1025,,3/4/21 20:42,SenRickScott,"Insanity. We just received the text of @SenateDems' ""COVID"" bill for the first time. The bill is 628 pages. No one has read it. That's exactly what the Democrats wanted. Now they are trying to rush & pass it. This is wrong. We're talking about $2T in spending. READ THE BILL.",Twitter for iPhone,FALSE,925,265,,,,,,no,,,,,SenateDems,en,,,,,,,,,,,,,,https://twitter.com/SenRickScott/status/1367576152487981057,Rick Scott,white,male,The Sunshine State,Florida's U.S. Senator. Fighting for Florida families and to Make Washington Work. #LetsGetToWork https://t.co/O6Ra1UNojy,FALSE,349615,1529,3883,19115,22,4/10/10 16:03,TRUE,https://t.co/N5TDVcCjcr,http://www.rickscott.senate.gov,republican,republican,Jenny,Sebastian,neither,neither,1,0,0,1,neither,0.651,34.9615,2021,12,275,no_match,no_match,0.1609341,4,2,0,2,0,2
